company_name,domain,year,program,location,industries,description,image_url,linkedin_url,twitter_url,crunchbase_url
SendGrid,https://sendgrid.com/,2009,Techstars Boulder Accelerator,"Denver, Colorado, United States",Mobile,SendGrid delivers your transactional and marketing emails through the worlds largest cloud-based email delivery platform,https://apimg.techstars.com/connect/images/image_files/575f3ff434b2743463000025/original/SG_Logo_Vertical_Full_Color_Light_Background_RGB.png,https://linkedin.com/company/sendgrid,https://twitter.com/Twilio,https://crunchbase.com/organization/sendgrid
Localytics,https://localytics.com/,2009,Techstars Boston Accelerator,"Boston, Massachusetts, United States",Mobile,Analytics and marketing platform for mobile and web apps,https://apimg.techstars.com/connect/images/image_files/5361/3f74/b776/101b/2a00/000c/original/Localytics.jpg,https://linkedin.com/company/1148792,https://twitter.com/Localytics,https://crunchbase.com/organization/localytics
Next Big Sound,https://nextbigsound.com/,2009,Techstars Boulder Accelerator,"New York City, New York, United States","Fintech,SaaS",Knowledge to navigate the modern music industry,https://apimg.techstars.com/connect/images/image_files/52e1/cd16/c995/68bf/d100/0002/original/NBSLogoSmall.jpg,https://linkedin.com/company/464245,https://twitter.com/nextbigsound,https://crunchbase.com/organization/next-big-sound
Vanilla Forums,https://vanillaforums.com/,2009,Techstars Boulder Accelerator,"Montreal, Quebec, Canada","Cybersecurity,SaaS",Community forums reinvented,https://apimg.techstars.com/connect/images/image_files/5359/5f3b/a9f4/89a6/2900/0007/original/vanilla_forums.jpg,https://linkedin.com/company/vanilla-forums-inc,https://twitter.com/vanilla,https://crunchbase.com/organization/vanilla-forums
Graphicly,https://graphicly.com/,2009,Techstars Boulder Accelerator,"Palo Alto, California, United States",Fintech,Redefining automated ebook publishing,https://pbs.twimg.com/profile_images/1747095616/image1326250208_bigger.png,https://linkedin.com/company/graphicly,https://twitter.com/graphicly,https://crunchbase.com/organization/graphicly
ReTel Technologies,https://reteltechnologies.com/,2009,Techstars Boulder Accelerator,"San Francisco, California, United States","Artificial intelligence and machine learning,Fintech",Retail video analytics powered by computer vision and crowdsourcing,https://apimg.techstars.com/connect/images/image_files/617b1df61974b40009817796/original/retel.png,https://linkedin.com/company/218072,https://twitter.com/reteltech,https://crunchbase.com/organization/retel-technologies
Baydin,https://boomerangapp.com/,2009,Techstars Boston Accelerator,"Mountain View, California, United States",Mobile,Email management tools,https://apimg.techstars.com/connect/images/image_files/57bcd443bbe36f19f30000f2/original/Baydin.png,https://linkedin.com/company/baydin,https://twitter.com/baydin,https://crunchbase.com/organization/baydin
Everlater,https://everlater.com/,2009,Techstars Boulder Accelerator,"Denver, Colorado, United States","Fintech,Mobile",Travel network,https://apimg.techstars.com/connect/images/image_files/5359/5ec9/cb58/5a41/8e00/0007/original/everlater.jpg,https://linkedin.com/company/597033,https://twitter.com/everlater,https://crunchbase.com/organization/everlater
Sensobi,https://sensobi.com/,2009,Techstars Boston Accelerator,"New York City, New York, United States","Fintech,Mobile",A personal relationship manager,https://apimg.techstars.com/connect/images/image_files/5361/3faa/a6e7/4bae/2600/000c/original/Sensobi.jpg,https://linkedin.com/company/291448,https://twitter.com/sensobi,https://crunchbase.com/organization/sensobi
Rezora,https://rezora.com/,2009,Techstars Boulder Accelerator,"Boulder, Colorado, United States",Mobile,A multi-tiered email marketing platform for large sales and marketing organizations,https://apimg.techstars.com/connect/images/image_files/5313/cda4/c2f6/507e/7400/0009/original/160x160.jpg,https://linkedin.com/company/recora-health,https://twitter.com/rezora,https://crunchbase.com/organization/rezora
